,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
212,Muisne,EC,0.6,-80.0333,73.89,81,90,10.47,overcast clouds
213,Kargasok,RU,59.0556,80.8572,41.9,89,59,5.08,broken clouds
214,Obo,CF,5.3998,26.4869,66.34,97,98,3.56,light rain
215,Marrakesh,MA,31.6315,-8.0083,71.67,73,40,4.61,scattered clouds
216,Mehamn,NO,71.0357,27.8492,40.95,81,40,14.97,scattered clouds
217,Cusco,PE,-13.5183,-71.9781,48.43,62,80,0.0,broken clouds
218,Jieshi,CN,22.8134,115.8257,80.91,67,6,7.7,clear sky
219,Lapi,PH,17.716,121.8978,84.7,65,100,1.3,moderate rain
220,Taoudenni,ML,22.6783,-3.9836,92.77,17,21,5.75,few clouds
221,Saldanha,ZA,-33.0117,17.9442,55.45,83,100,16.87,overcast clouds
222,Tazovskiy,RU,67.4667,78.7,37.76,96,100,8.01,overcast clouds
223,La Libertad,EC,-2.2333,-80.9,68.25,81,97,11.59,overcast clouds
224,Pachino,IT,36.7186,15.0907,68.92,75,4,8.5,clear sky
225,Nawabganj,BD,24.5911,88.271,81.95,77,10,7.25,clear sky
226,Athabasca,CA,54.7169,-113.2854,57.61,57,100,6.8,overcast clouds
227,Hirara,JP,24.8,125.2833,85.86,70,40,10.36,scattered clouds
228,Te Anau,NZ,-45.4167,167.7167,58.55,58,100,12.93,overcast clouds
229,Kirkenaer,NO,60.4564,12.0582,34.03,76,10,3.06,clear sky
230,Tagusao,PH,9.1924,117.8141,85.08,69,98,2.01,overcast clouds
231,Antofagasta,CL,-23.65,-70.4,58.28,82,27,3.31,scattered clouds
232,Chengde,CN,40.9725,117.9361,47.57,54,94,9.17,overcast clouds
233,Broome,US,42.2506,-75.833,41.67,86,20,5.75,few clouds
234,Iqaluit,CA,63.7506,-68.5145,29.93,80,100,5.75,light snow
235,Laurel,US,39.0993,-76.8483,49.69,83,0,0.0,clear sky
236,Cidreira,BR,-30.1811,-50.2056,62.82,83,20,6.62,few clouds
237,Teguise,ES,29.0605,-13.564,70.02,83,40,12.66,scattered clouds
238,Ust-Kuyga,RU,70.0167,135.6,24.01,92,100,8.01,overcast clouds
239,Changping,CN,40.2186,116.2197,56.84,26,5,18.21,clear sky
240,Oranjemund,NA,-28.55,16.4333,57.92,94,99,9.08,overcast clouds
241,Piracuruca,BR,-3.9281,-41.7092,75.18,87,31,4.16,scattered clouds
242,Boyolangu,ID,-8.1181,111.8935,81.82,77,81,7.56,broken clouds
243,Nouakchott,MR,18.0858,-15.9785,75.13,68,99,13.67,overcast clouds
244,Provideniya,RU,64.3833,-173.3,32.77,64,73,20.51,broken clouds
245,Kasongo-Lunda,CD,-6.4667,16.8167,69.91,96,100,3.02,overcast clouds
246,Port Hardy,CA,50.6996,-127.4199,53.78,100,100,3.44,mist
247,Huescar,ES,37.811,-2.5412,56.12,90,45,4.38,scattered clouds
248,Acarau,BR,-2.8856,-40.12,78.82,81,11,15.19,few clouds
249,Chuy,UY,-33.6971,-53.4616,50.2,76,100,14.56,overcast clouds
250,Chokurdakh,RU,70.6333,147.9167,23.81,89,100,17.13,overcast clouds
251,Conceicao Da Barra,BR,-18.5933,-39.7322,75.2,85,53,7.7,broken clouds
252,Saint-Leu,RE,-21.15,55.2833,68.83,67,11,4.05,few clouds
253,Alofi,NU,-19.0595,-169.9187,73.29,94,100,13.8,overcast clouds
254,Puerto Leguizamo,CO,-0.1934,-74.7819,70.95,98,99,0.65,overcast clouds
255,Hasaki,JP,35.7333,140.8333,77.22,54,100,17.6,overcast clouds
256,Yozgat,TR,39.5833,35.3333,48.67,86,80,2.66,broken clouds
257,Les Cayes,HT,18.2,-73.75,79.03,82,6,4.41,clear sky
258,Victoria,HK,22.2855,114.1577,84.96,76,7,5.99,clear sky
